"unitid","institution name","year","S2009_f.Tenure status and academic rank of full-time instruction/research/public service staff","S2009_f_RV.Grand total","S2009_f_RV.Grand total men","S2009_f_RV.Grand total women","S2009_f_RV.American Indian or Alaska Native total - derived","S2009_f_RV.American Indian or Alaska Native men - derived","S2009_f_RV.American Indian or Alaska Native women - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander total - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander men - derived","S2009_f_RV.Asian/Native Hawaiian/Other Pacific Islander women - derived","S2009_f_RV.Black or African American/Black non-Hispanic total - derived","S2009_f_RV.Black or African American/Black non-Hispanic men - derived","S2009_f_RV.Black or African American/Black non-Hispanic women - derived","S2009_f_RV.Hispanic or Latino/Hispanic total - derived","S2009_f_RV.Hispanic or Latino/Hispanic men - derived","S2009_f_RV.Hispanic or Latino/Hispanic women - derived","S2009_f_RV.White/White non-Hispanic total - derived","S2009_f_RV.White/White non-Hispanic men - derived","S2009_f_RV.White/White non-Hispanic women - derived","S2009_f_RV.American Indian or Alaska Native total - new","S2009_f_RV.American Indian or Alaska Native men - new","S2009_f_RV.American Indian or Alaska Native women - new","S2009_f_RV.Asian total - new","S2009_f_RV.Asian men - new","S2009_f_RV.Asian women - new","S2009_f_RV.Black or African American total - new","S2009_f_RV.Black or African American men - new","S2009_f_RV.Black or African American women - new","S2009_f_RV.Hispanic or Latino total - new","S2009_f_RV.Hispanic or Latino men - new","S2009_f_RV.Hispanic or Latino women - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander total - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander men - new","S2009_f_RV.Native Hawaiian or Other Pacific Islander women - new","S2009_f_RV.White total - new","S2009_f_RV.White men - new","S2009_f_RV.White women - new","S2009_f_RV.Two or more races total - new","S2009_f_RV.Two or more races men - new","S2009_f_RV.Two or more races women - new","S2009_f_RV.American Indian or Alaska Native total - old","S2009_f_RV.American Indian or Alaska Native men - old","S2009_f_RV.American Indian or Alaska Native women - old","S2009_f_RV.Asian or Pacific Islander total - old","S2009_f_RV.Asian or Pacific Islander men - old","S2009_f_RV.Asian or Pacific Islander women - old","S2009_f_RV.White non-Hispanic women - old","S2009_f_RV.Black non-Hispanic  total  - old","S2009_f_RV.Black non-Hispanic men - old","S2009_f_RV.Black non-Hispanic women - old","S2009_f_RV.Hispanic total - old","S2009_f_RV.Hispanic men - old","S2009_f_RV.Hispanic women - old","S2009_f_RV.White non-Hispanic total  - old","S2009_f_RV.White non-Hispanic men  - old","S2009_f_RV.Race/ethnicity unknown total","S2009_f_RV.Race/ethnicity unknown men","S2009_f_RV.Race/ethnicity unknown women","S2009_f_RV.Nonresident alien total","S2009_f_RV.Nonresident alien men","S2009_f_RV.Nonresident alien women","IDX_HR"
"123961","University of Southern California","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Instructors","141","58","83","0","0","0","16","5","11","6","0","6","9","6","3","63","22","41",,,,,,,,,,,,,,,,,,,,,,"0","0","0","16","5","11","41","6","0","6","9","6","3","63","22","42","22","20","5","3","2","-2"
"123961","University of Southern California","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track, Lecturers","307","162","145","0","0","0","23","6","17","5","3","2","21","7","14","211","121","90",,,,,,,,,,,,,,,,,,,,,,"0","0","0","23","6","17","90","5","3","2","21","7","14","211","121","31","16","15","16","9","7","-2"
"123961","University of Southern California","2009","Total full-time Instruction/research/public service, Non-tenured not on tenure track total","1677","945","732","0","0","0","320","177","143","47","15","32","76","38","38","974","554","420",,,,,,,,,,,,,,,,,,,,,,"0","0","0","320","177","143","420","47","15","32","76","38","38","974","554","179","102","77","81","59","22","-2"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Tenured, Professors","445","352","93","2","2","0","28","21","7","5","5","0","16","14","2","380","299","81",,,,,,,,,,,,,,,,,,,,,,"2","2","0","28","21","7","81","5","5","0","16","14","2","380","299","7","5","2","7","6","1","-2"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Tenured, Associate professors","318","209","109","2","0","2","31","15","16","11","7","4","20","11","9","239","162","77",,,,,,,,,,,,,,,,,,,,,,"2","0","2","31","15","16","77","11","7","4","20","11","9","239","162","10","9","1","5","5","0","-2"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Tenured, Assistant professors","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1",,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","1","0","0","0","0","0","0","2","1","0","0","0","0","0","0","-2"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Tenured total","765","562","203","4","2","2","59","36","23","16","12","4","36","25","11","621","462","159",,,,,,,,,,,,,,,,,,,,,,"4","2","2","59","36","23","159","16","12","4","36","25","11","621","462","17","14","3","12","11","1","-2"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Associate professors","19","11","8","0","0","0","1","1","0","1","0","1","1","0","1","9","6","3",,,,,,,,,,,,,,,,,,,,,,"0","0","0","1","1","0","3","1","0","1","1","0","1","9","6","3","2","1","4","2","2","-2"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track, Assistant professors","304","169","135","3","0","3","46","26","20","6","1","5","16","9","7","178","96","82",,,,,,,,,,,,,,,,,,,,,,"3","0","3","46","26","20","82","6","1","5","16","9","7","178","96","21","14","7","34","23","11","-2"
"126614","University of Colorado Boulder","2009","Total full-time Instruction/research/public service, Non-tenured on tenure track total","323","180","143","3","0","3","47","27","20","7","1","6","17","9","8","187","102","85",,,,,,,,,,,,,,,,,,,,,,"3","0","3","47","27","20","85","7","1","6","17","9","8","187","102","24","16","8","38","25","13","-2"
